SearchName,DatFile,JobID,NumberOfSpectra,NumberOfSpectraOver25,Over25inPercent,Comment
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257706.dat,257706,27583,16714,60.6,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257707.dat,257707,27583,641,2.32,
TP+AF8-HeLa+AF8-200ng+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257708.dat,257708,27583,543,1.97,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257850.dat,257850,34335,11314,32.95,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257851.dat,257851,34335,274,0.8,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257852.dat,257852,34335,228,0.66,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257853.dat,257853,34335,11314,32.95,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257854.dat,257854,34335,274,0.8,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257855.dat,257855,34335,229,0.67,
20161201+AF8-11+AF8-Mix1a+AF8-1+AF8-DDA+AF8-benchmark+AF8-mspy.mgf+AF8-Fusion,F257856.dat,257856,29421,7745,26.32,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257857.dat,257857,34751,10523,30.28,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257858.dat,257858,34751,255,0.73,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257859.dat,257859,34751,201,0.58,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257860.dat,257860,34751,10523,30.28,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-last.mgf+AF8-Fusion,F257861.dat,257861,34751,255,0.73,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-mean.mgf+AF8-Fusion,F257862.dat,257862,34751,201,0.58,
20161201+AF8-14+AF8-Mix1b+AF8-1+AF8-DDA+AF8-benchmark+AF8-mspy.mgf+AF8-Fusion,F257863.dat,257863,29286,7122,24.32,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-first.mgf+AF8-Fusion,F257864.dat,257864,34433,10985,31.9,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-last.mgf+AF8-Fusion,F257865.dat,257865,34433,259,0.75,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-mean.mgf+AF8-Fusion,F257866.dat,257866,34433,218,0.63,
20161201+AF8-20+AF8-Mix1a+AF8-2+AF8-DDA+AF8-benchmark+AF8-fbdm+AF8-with+AF8-mod+AF8-first.mgf+AF8-Fusion,F257867.dat,257867,34433,10985,31.9,
